Place,College Name
"Manihari, Bihar",Carmel Autonomous College Mala
"Manjlegaon, Maharashtra",Carmelgiri College
"Mankachar, Assam",Catholicate Collegepathanamthitta
"Manmad, Maharashtra",Cauvery College Of Nursing
"Mansa, Gujarat",Cauvery College Of Physiotherapy
"Mansa, Punjab",Cbr Law College
"Manuguru, Telangana",Ccsit Palakkad
"Manvi, Karnataka",Ceg Anna University
"Manwath, Maharashtra",Center For Management Studies Jain
"Mapusa, Goa",Central Institute Of Business Management Research & Development
"Margao, Goa",Central Queensland University
"Margherita, Assam",Central University Of Andhra Pradesh
"Marhaura, Bihar",Central University Of Haryana
"Mariani, Assam",Central University Of Jammu
"Marigaon, Assam",Central University Of Karnataka
"Markapur, Andhra Pradesh",Central University Of Kashmir
"Masaurhi, Bihar",Central University Of Kerala
"Mathabhanga, West Bengal",Central University Of Punjab
"Mathura, Uttar Pradesh",Central University Of Rajasthan
"Mattannur, Kerala",Central University Of South Bihar
"Mau, Uttar Pradesh",Central University Of Tamil Nadu
"Mauganj, Madhya Pradesh",Centre For Environmental Planning And Technology University
"Mavelikkara, Kerala",Centre For Legal Studies Kannur University
"Mavoor, Kerala",Centre For Pg Studies In Social Work Sultan Bathery
"Mayang Imphal, Manipur",Centre Of Excellence Gujarat University
"Medak, Telangana",Centurion University
"Meerut, Uttar Pradesh",Century International Institute Of Dental Science Kasaragod
"Memari, West Bengal",Cept University
"Merta City, Rajasthan",Cgc University
"Metpally, Telangana",Chaitanya Bharathi Institute Of Technology
"Mhaswad, Maharashtra",Chaitanya Deemed To Be University
"Mhow Cantonment, Madhya Pradesh",Chalmeda Anand Rao Institute Of Medical Sciences
"Mhowgaon, Madhya Pradesh",Chamarajanagar Institute Of Medical Sciences
"Mihijam, Jharkhand",Chameli Devi Group Of Institution
"Mira-Bhayandar, Maharashtra",Chamundeshwari Medical College
"Mirganj, Bihar",Chanakya National Law University Patna
"Miryalaguda, Telangana",Chanakya University
"Miryalaguda, Telangana",Chanderprabhu Jain College Of Higher Studies & School Of Law
"Mirzapur, Uttar Pradesh",Chandigarh College Of Architecture
"Modasa, Gujarat",Chandigarh Group Of Colleges
"Mokameh, Bihar",Chandigarh Law College
"Mokokchung, Nagaland",Chandigarh University
"Monoharpur, West Bengal",Chandigarh University Up Campus
"Moradabad, Uttar Pradesh",Chandra Prabhu Jain College
"Morena, Madhya Pradesh",Chandrabhan Sharma College
"Morinda, India, Punjab",Charleston School Of Law
"Morshi, Maharashtra",Chathamkulam Institute Of Research And Advanced Studies
"Morvi, Gujarat",Chaudhary Charan Singh University
"Motihari, Bihar",Chaudhary Ram Gopal Singh Law College
"Motipur, Bihar",Chaudhary Ramgopal Singh Mahavidyalay Kanpur
"Mount Abu, Rajasthan",Chavassery Higher Secondary School
"Mudabidri, Karnataka",Chembur Karnataka College Of Law
"Mudalagi, Karnataka",Chengalpattu Medical College And Hospital
"Muddebihal, Karnataka",Chennai Academy Of Architecture And Design
"Mudhol, Karnataka",Chennai Institute Of Technology
"Mukerian, Punjab",Cheran School Of Pharmaceutical Sciences
"Mukhed, Maharashtra",Chetana Bba And Bca College
"Muktsar, Punjab",Chetana's Hazarimal Somani College Of Commerce & Economics
"Mul, Maharashtra",Chettinad Academy Of Research And Education
"Mulbagal, Karnataka",Chettinad Hospital And Research Institute
"Multai, Madhya Pradesh",Chettinad School Of Architecture
"Mumbai, Maharashtra",Chettinad School Of Law
"Mundargi, Karnataka",Chevalier Tthomas Elizabeth College For Women
"Mundi, Madhya Pradesh",Chhatrapati Shahu Maharaj Shikshan Sanstha
"Mungeli, Chhattisgarh",Chhatrapati Shahuji Maharaj College Of Engineering & Technology
"Munger, Bihar",Chhatrapati Shahuji Maharaj University
"Muni Ki Reti, Uttarakhand",Chhattisgarh Institute Of Medical Sciences
"Murliganj, Bihar",Chikka Muniyappa Reddy University
"Murshidabad, West Bengal",Chikkaballapura Institute Of Medical Sciences
"Murtijapur, Maharashtra",Chikkamagaluru Institute Of Medical Sciences
"Murwara, Uttar Pradesh",Children Welfare Centre College Of Law
"Musabani, Jharkhand",Chinmaya Institute Of Technology
"Mussoorie, Uttarakhand",Chinmaya Vidyalaya College
"Muvattupuzha, Kerala",Chinmaya Vishwa Vidyapeeth College
"Muzaffarnagar, Uttar Pradesh",Chirayu Medical College & Hospital
"Muzaffarpur, Bihar",Chirayu Medical College And Hospital
"Mysore, Karnataka",Chirec International School
"Nabarangapur, Odisha",Chitkara University
"Nabha, Punjab",Chitradurga Medical College And Research Institute
"Nadbai, Rajasthan",Chittur College
"Nadiad, Gujarat",Chmm Collage Chavarcode
"Nagar, Rajasthan",Chmm College Of Arts And Science Chavarcode
"Nagarcoil, Tamil Nadu",Chotanagpur Law College
"Nagari, Andhra Pradesh",Chotubhai Gopalbhai Institute Of Technology
"Nagarkurnool, Telangana",Christ Academy Institute For Advanced Studies
"Nagina, Uttar Pradesh",Christ Academy Institute Of Law
"Nagla, Uttarakhand",Christ College Irinjalakuda
"Nagpur, Maharashtra",Christ College Of Engineering And Technology
"Nahan, Himachal Pradesh",Christ College Vizhinjam
"Naharlagun, Arunachal Pradesh",Christ Delhi Ncr
"Naidupet, Andhra Pradesh",Christ Junior College
"Naihati, West Bengal",Christ Nagar College
"Naila Janjgir, Chhattisgarh",Christ University
"Nainital, Uttarakhand",Christ University Bangalore
"Nainpur, Madhya Pradesh",Christ University Lavasa
"Najibabad, Uttar Pradesh",Christ University Main Campus Bengaluru
"Nakodar, Punjab",Christ University-Delhi Ncr
"Nakur, Uttar Pradesh",Christian College Chengannur
"Nalbari, Assam",Christian Dental College Ludhiana
"Namagiripettai, Tamil Nadu",Christian Medical College & Hospital
"Namakkal, Tamil Nadu",Christian Medical College Of Physiotherapy
"Nandaprayag, Uttarakhand",Ciet School Of Architecture Coimbatore
"Nanded, Maharashtra",Cindrebay School Of Design
"Nandgaon, Maharashtra",City Academy Law College
"Nandivaram-Guduvancheri, Tamil Nadu",City College
"Nandura, Maharashtra",City Engineering College
"Nandyal, Andhra Pradesh",City Premier College
"Nangal, Punjab",Ckt Arts Commerce And Science College
"Nangloi Jat, Delhi",Cl Baid Metha College Of Pharmacy
"Nanjangud, Karnataka",Classic Neet Academy
"Nanjikottai, Tamil Nadu",Clc-Delhi
"Nanpara, Uttar Pradesh",Cluster Media College
"Narasapuram, Andhra Pradesh",Cmp Degree Law College
"Narasaraopet, Andhra Pradesh",Cmr College Of Nursing
"Naraura, Uttar Pradesh",Cmr Institute Of Medical Sciences
"Narayanpet, Telangana",Cmr Institute Of Technology
"Narendranagar, Uttarakhand",Cmr School Of Legal Studies
"Nargund, Karnataka",Cmr University
"Narkatiaganj, Bihar",Cms College Kottayam
"Narkhed, Maharashtra",Cms College Of Engineering And Technology
"Narnaul, Haryana",Cms Jain
"Narsinghgarh, Madhya Pradesh",Cms Lucknow
"Narsinghgarh, Madhya Pradesh",Co Operative School Of Law
"Narsipatnam, Andhra Pradesh",Co-Operative Arts & Science College Thrissur
"Narwana, Haryana",Cochin College
"Nashik, Maharashtra",Cochin University College Of Engineering Kuttanadu
"Nasirabad, Rajasthan",Cochin University Of Science And Technology
"Natham, Tamil Nadu",Coer University
"Nathdwara, Rajasthan",Coimbatore Ayurveda College
"Naugachhia, Bihar",Coimbatore Institute Of Technology
"Naugawan Sadat, Uttar Pradesh",Coimbatore Medical College
"Naura, Punjab",Collage Of Engineering Chengannur
"Nautanwa, Uttar Pradesh",College Of Architecture Trivandrum
"Navalgund, Karnataka",College Of Arts
"Navi Mumbai Panvel Raigad, Maharashtra",College Of Co-Operation Banking & Management Thrissur
"Navi Mumbai, Maharashtra",College Of Dental Science And Research Centre
"Nawabganj, Uttar Pradesh",College Of Engineering Adoor
"Nawada, Bihar",College Of Engineering And Technology Payyannur
"Nawanshahr, Punjab",College Of Engineering Chengannur
"Nawapur, Maharashtra",College Of Engineering Cherthala
"Nedumangad, Kerala",College Of Engineering Gundy
"Nedumbassery, Kerala",College Of Engineering Karunagappally
"Neem-Ka-Thana, Rajasthan",College Of Engineering Kidangoor
"Nehtaur, Uttar Pradesh",College Of Engineering Muttathara Trivandrum (Govt Of Kerala)
"Nelamangala, Karnataka",College Of Engineering Pathanapuram
"Nellikuppam, Tamil Nadu",College Of Engineering Punnapra
"Nellore, Andhra Pradesh",College Of Engineering Thalassery
"Nepanagar, Madhya Pradesh",College Of Engineering Trivandrum
"New Delhi, Delhi",College Of Engineering Vadakara
"Neyyattinkara, Kerala",College Of Fine Arts
"Nidadavole, Andhra Pradesh",College Of Fisheries Science Nagpur
"Nilambur, Kerala",College Of Medicine & Jnm Hospital Kalayani
"Nilanga, Maharashtra",College Of Pharmaceutical Sciencekottayam
"Nimbahera, Rajasthan",College Of Pharmaceutical Sciences Gmc Kannur
"Nirmal, Telangana",College Of Pharmacy Graphic Era Hill University
"Niwai, Rajasthan",College Of Pharmacy Jssate Noida
"Niwari, Madhya Pradesh",Colorado Christian University
"Nizamabad, Telangana",Coorg Institute Of Technology
"Nohar, Rajasthan",Cop Law College
"Noida, Uttar Pradesh",Corparate College Of Law
"Nokha, Bihar",Cotton University
"Nokha, Rajasthan",Council Of Architecture
"Nongstoin, Meghalaya",Cp And Berar Es College
"Noorpur, Uttar Pradesh",Cpa College Of Global Studies Puthanathani
"North Dumdum, West Bengal",Cpj School Of Law Delhi
"North Lakhimpur, Assam",Creative Educational Society's College Of Pharmacy
"Nowgong, Madhya Pradesh",Creative Multimedia College Of Fine Arts
"Nowrozabad (Khodargama), Madhya Pradesh",Crescent College Of Architecture
"Nuzvid, Andhra Pradesh",Crescent Institute Of Science And Technology
"O' Valley, Tamil Nadu",Cresent Law School
"Obra, Uttar Pradesh",Csi Christian Muller Women's College
"Oddanchatram, Tamil Nadu",Csi College Dharwad
"Ongole, Andhra Pradesh",Csi College Od Dental Science And Research
"Orai, Uttar Pradesh",Csi College Of Engineering Ketti
"Ottappalam, Kerala",Csi Institute Of Legal Studies
"Owk, Andhra Pradesh",Ct Group Of Institutions
"Ozar, Maharashtra",Ct University
"Ozhukarai, Puducherry",Cummins College Of Engineering For Women
"P.N.Patti, Tamil Nadu",Cvr College Of Engineering
"Pachora, Maharashtra",D Y Patil School Of Nursing Navi Mumbai
"Pachore, Madhya Pradesh",Dada Lakhmichand State University Of Visual And Arts
"Pacode, Tamil Nadu",Dadasaheb Balpande Collage Of Pharmacy
"Padmanabhapuram, Tamil Nadu",Dadi Institute Of Engineering And Technology
"Padra, Gujarat",Damodaram Sanjivayya National Law University
"Padrauna, Uttar Pradesh",Darshan Academy Pimpri Pune
"Paithan, Maharashtra",Daswani Dental College & Research Centre
"Pakaur, Jharkhand",Datta Meghe Ayurved College Hospital & Research Centre
"Palai, Kerala",Datta Meghe College Of Pharmacy
"Palampur, Himachal Pradesh",Datta Meghe College Of Physiotherapy
"Palani, Tamil Nadu",Datta Meghe Institute Of Higher Education And Research
"Palasa Kasibugga, Andhra Pradesh",Datta Meghe Medical College
"Palghar, Maharashtra",Daulat Ram College
"Pali, Rajasthan",Dav Pg College Dehradun
"Pali, Rajasthan",Dav Sector 10
"Palia Kalan, Uttar Pradesh",Dav University Jalandhar
"Palitana, Gujarat",Daviet Jalandhar
"Palladam, Tamil Nadu",Dayal Singh College
"Pallapatti, Tamil Nadu",Dayalbagh Educational Institute
"Pallavaram, Tamil Nadu",Dayanand Brajendra Swarup Pg College
"Pallikonda, Tamil Nadu",Dayanand College Of Law
"Palwancha, Telangana",Dayanand College Of Law Latur
"Panagar, Madhya Pradesh",Dayanand Medical College And Hospital
"Panagudi, Tamil Nadu",Dayanand Medical College Ludhiana
"Panaji*, Goa",Dayanand Sagar Academy Of Technology And Management
"Panamattom, Kerala",Dayanand Sagar Bussiness Academy
"Panchkula, Haryana",Dayanand Sagar University
"Panchla, West Bengal",Dayananda Sagar College Of Dental Sciences
"Pandharkaoda, Maharashtra",Dayananda Sagar College Of Engineering
"Pandharpur, Maharashtra",Dayananda Sagar University Bangalore
"Pandhurna, Madhya Pradesh",Dayananda Sagar University College Of Pharmaceutical Sciences
"Pandua, West Bengal",Db Collage Sasthamcotta
"Panihati, West Bengal",Dc Patel School Of Architecture
"Panipat, Haryana",Dc School Of Architecture And Design Trivandrum
"Panna, Madhya Pradesh",Dc School Of Management And Technology
"Panniyannur, Kerala",De Paul Institute Of Science & Technology
"Panruti, Tamil Nadu",Deccan Education Society's Fergusson College
"Panvel, Maharashtra",Deccan Institute Of Medical Science
"Pappinisseri, Kerala",Deen Dayal Upadhyay Gorakhpur University
"Paradip, Odisha",Deenbandhu Chhotu Ram University Of Science And Technology
"Paramakudi, Tamil Nadu",Deewan Law College
"Parangipettai, Tamil Nadu",Dehradun Institute Of Technology
"Parasi, Uttar Pradesh",Delhi Institute Of Pharmaceutical Sciences And Research
"Paravoor, Kerala",Delhi Metropolitan Education
"Parbhani, Maharashtra",Delhi Pharmaceutical Sciences And Research University
"Pardi, Gujarat",Delhi Public School
"Parlakhemundi, Odisha",Delhi School Of Professional Studies And Research
"Parli, Maharashtra",Delhi Skill And Entrepreneurship University
"Partur, Maharashtra",Delhi Technological University
"Parvathipuram, Andhra Pradesh",Delhi University
"Pasan, Madhya Pradesh",Des Brijlal Jindal College Of Physiotherapy Pune
"Paschim Punropara, West Bengal",Des Shri Navalmal Firodia Law College
"Pasighat, Arunachal Pradesh",Desh Bhagat Dental College And Hospital
"Pathanamthitta, Kerala",Desh Bhagat University
"Pathardi, Maharashtra",Dev Bhoomi Uttarakhand University
"Pathri, Maharashtra",Dev Samaj College For Women
"Patiala, Punjab",Dev's Homeopathic Medical College
"Patna, Bihar",Devamatha College Kuravilangad
"Patratu, Jharkhand",Devi Ahilya Vishwavidyalaya
"Pattamundai, Odisha",Deviprasad Goenka Management College Of Media Studies
"Patti, Punjab",Devs Homeopathic Medical College And Hospital
"Pattran, Punjab",Dg College Of Architecture
"Pattukkottai, Tamil Nadu",Dg Ruparel College
"Patur, Maharashtra",Dg Vaishnav College Autonomous
"Pauni, Maharashtra",Dhaka-National Medical College
"Pauri, Uttarakhand",Dhanalakshmi Srinivasan Dental College Siruvachur Perambalur
"Payyanur, Kerala",Dhanalakshmi Srinivasan Medical College And Hospital Perambalur
"Pedana, Andhra Pradesh",Dhanalakshmi Srinivasan University
"Peddapuram, Andhra Pradesh",Dhanraj Baid Jain
"Pehowa, Haryana",Dhanvantari Ayurveda Medical College
"Pen, Maharashtra",Dhanwantari College Of Allied Health Science
"Perambalur, Tamil Nadu",Dharamsingh Desai University
"Peravurani, Tamil Nadu",Dharanidhar Medical College And Hospital Keonjhar
"Peringathur, Kerala",Dharma Ayurveda Medical College
"Perinthalmanna, Kerala",Dharma Ayurvedic Medical College
"Periyakulam, Tamil Nadu",Dharmashastra National Law University
"Periyasemur, Tamil Nadu",Dharmsinh Desai Institute Of Technology
"Pernampattu, Tamil Nadu",Dharmsinh Desai University Nadiad
"Perumbavoor, Kerala",Dhempe College Of Arts & Science
"Petlad, Gujarat",Dhole Patil College Of Physiotherapy
"Phalodi, Rajasthan",Dhubri Medical College
"Phaltan, Maharashtra",Dhubri Medical College And Hospital
"Phillaur, Punjab",Diamond Harbour Govt Medical College
"Phulabani, Odisha",Dibrugarh University
"Phulera, Rajasthan",Digital University Of Kerala
"Phulpur, Uttar Pradesh",Dignity College
"Pihani, Uttar Pradesh",Diphu Medical College
"Pilani, Rajasthan",Disha Law College Raipur
"Piler, Andhra Pradesh",Dit University
"Pilibanga, Rajasthan",Divine Institute Of Media Science Muringoor
"Pilkhuwa, Uttar Pradesh",Divine Law College
"Pimpri-Chinchwad, Maharashtra",Divya Jyoti Dental College
"Pindwara, Rajasthan",Dj College Of Dental Sciences & Research
"Pipar City, Rajasthan",Dkte Society's Textile And Engineering Institute Kohlapur
"Piriyapatna, Karnataka",Dm Harish School Of Law
"Piro, Bihar",Don Bosco Arts And Science College
"Pithampur, Madhya Pradesh",Don Bosco College Kottiyam Kollam
"Pithapuram, Andhra Pradesh",Don Bosco Institute Of Technology
"Pithoragarh, Uttarakhand",Doon Ayurvedic Medical College & Hospital Saharanpur
"Polur, Tamil Nadu",Doon Business School Dehradun
"Ponnani, Kerala",Doon University
"Ponneri, Tamil Nadu",Dot School Of Design
"Ponnur, Andhra Pradesh",Dr Ambedkar Global Law Institute
"Poonch, Jammu and Kashmir",Dr Ambedkar Institute Of Management Studies And Research
"Porsa, Madhya Pradesh",Dr Ambedkar Institute Of Technology
"Port Blair*, Andaman and Nicobar Islands",Dr Ambedkar Law College
"Powayan, Uttar Pradesh",Dr Apj Abdul Kalam College Of Paramedical & Health Science
"Prantij, Rajasthan",Dr Apj Abdul Kalam College Of Physiotherapy
"Pratapgarh, Rajasthan",Dr B R Ambedkar Law College Deekshabhumi Nagpur
"Pratapgarh, Tripura",Dr Baba Saheb Ambedkar Medical College
"Prayagraj, Uttar Pradesh",Dr Babasaheb Ambedkar College Of Law
"Prithvipur, Madhya Pradesh",Dr Babasaheb Ambedkar College Of Management & Studies
"Proddatur, Andhra Pradesh",Dr Balasaheb Vikhe Patil Rural Medical College
"Puducherry, Puducherry",Dr Bhimrao Ambedkar University
"Pudupattinam, Tamil Nadu",Dr Br Ambedkar College Of Law
"Pukhrayan, Uttar Pradesh",Dr Br Ambedkar College Of Physiotherapy
"Pulgaon, Maharashtra",Dr Br Ambedkar Institute Of Medical Sciences
"Puliyankudi, Tamil Nadu",Dr Br Ambedkar National Law University Sonipat
"Punalur, Kerala",Dr Br Ambedkar University
"Pune, Maharashtra",Dr Br Ambedkhar College Of Law Andhra University
"Punganur, Andhra Pradesh",Dr Brkr Government Ayurvedic College
"Punjaipugalur, Tamil Nadu",Dr Bvp Rural Medical College
"Puranpur, Uttar Pradesh",Dr Chandramma Dayanand Sagar Institute Of Medical Research And Education
"Purna, Maharashtra",Dr D Y Atil Institute Of Pharmaceutical Sciences And Reasearch
"Purnia, Bihar",Dr D Y Patil Institute Of Pharmaceutical Sciences And Reasearch
"Purquazi, Uttar Pradesh",Dr Dy Patil College Of Ayurveda And Research Centre Navi Mumbai
"Purwa, Uttar Pradesh",Dr Dy Patil College Of Ayurveda And Research Centre Pimpri
"Pusad, Maharashtra",Dr Dy Patil College Of Engineering And Technology Kohlapur
"Puthuppally, Kerala",Dr Dy Patil College Of Physiotherapy
"Puttur, Andhra Pradesh",Dr Dy Patil Dental College
"Puttur, Karnataka",Dr Dy Patil Homoeopathic Medical College
"Qadian, Punjab",Dr Dy Patil Law College
"Rabkavi Banhatti, Karnataka",Dr Dy Patil Medical College And Hospital
"Radhanpur, Gujarat",Dr Dy Patil Medical College Kolhapur
"Rae Bareli, Uttar Pradesh",Dr Dy Patil School Of Science And Technology Dr D Y Patil Dnyan Prasad University Pune Tathawade Dypdpu
"Rafiganj, Bihar",Dr Dy Patil University
"Raghogarh-Vijaypur, Madhya Pradesh",Dr Dy Patil University Navi Mumbai
"Raghunathpur, West Bengal",Dr Dy Patil Vidyapeeth
"Rahatgarh, Madhya Pradesh",Dr Ghanshyam Singh College Of Education
"Rahuri, Maharashtra",Dr Gr Damodaran College Of Science
"Raichur, Karnataka",Dr Gururaju Govt Homoeopathy Medical College And Hospital
"Raiganj, West Bengal",Dr Hari Singh Gour University
"Raikot, Punjab",Dr Hsrsm Dental Collage
"Raipur, Chhattisgarh",Dr John Matthai Centre
"Rairangpur, Odisha",Dr Kn Modi University
"Raisen, Madhya Pradesh",Dr Kns Memorial Institute Of Medical Sciences
"Raisinghnagar, Rajasthan",Dr L H Hiranandani College Of Pharmacy
"Rajagangapur, Odisha",Dr Mgr Educational And Research Institute
"Rajahmundry, Andhra Pradesh",Dr Mgr Janaki College For Women
"Rajakhera, Rajasthan",Dr Mk Shah Medical College
"Rajaldesar, Rajasthan",Dr Moopen's Medical College
"Rajam, Andhra Pradesh",Dr Nsam First Grade College
"Rajauri, Jammu and Kashmir",Dr Ny Tasgaonkar Institute Of Medical Science
"Rajepur, Uttar Pradesh",Dr Padiar Memorial Homoeopathic Medical College Ernankulam
"Rajesultanpur, Uttar Pradesh",Dr Panjabrao Deshmukh College Of Law
"Rajgarh (Alwar), Rajasthan",Dr Panjabrao Deshmukh Memorial Medical College Amravati
"Rajgarh (Churu), Rajasthan",Dr Patnam Mahender Reddy Institute Of Medical Sciences
"Rajgarh, Madhya Pradesh",Dr Pinnamaneni Siddhartha
"Rajgir, Bihar",Dr Rajendra Gode Institute Of Technology And Research
"Rajkot, Gujarat",Dr Rajendra Gode Medical College
"Rajpipla, Gujarat",Dr Rajendra Prasad National Law University
"Rajpur Sonarpur, West Bengal",Dr Rajesh Ramdasji Kombe Dental College
"Rajpura, Punjab",Dr Ram Manohar Lohia College Of Law
"Rajsamand, Rajasthan",Dr Ram Manohar Lohia Institute Of Medical Sciences
"Rajula, Gujarat",Dr Rammanohar Lohia Avadh University
"Rajura, Maharashtra",Dr Rkb Law College
"Ramachandrapuram, Andhra Pradesh",Dr S C Gulhane Prerna College
"Ramagundam, Telangana",Dr Shakuntala Mishra National Rehabilitation University
"Ramanagaram, Karnataka",Dr Shankarrao Chavan Government Medical College
"Ramanathapuram, Tamil Nadu",Dr Smcsi Medical College
"Ramdurg, Karnataka",Dr Sn Medical College
"Rameshwaram, Tamil Nadu",Dr Sns Rajalakshmi College Of Arts And Science
"Ramganj Mandi, Rajasthan",Dr Somerveli Memorial Medical College Karakonam Trivandrum
"Ramnagar, Bihar",Dr Sudha And Nageswara Rao Siddaratha Institute Of Dental Sciences
"Ramnagar, Uttarakhand",Dr T Thimmaiah Institute Of Technology
"Ramnagar, Uttarakhand",Dr Ulhas Law College
"Ramngarh, Rajasthan",Dr Ulhas Patil Medical College And Hospital
"Rampur Maniharan, Uttar Pradesh",Dr Vaishampayan Memorial Government Medical College Solapur
"Rampur, Uttar Pradesh",Dr Vasantrao Pawar Medical College Hospital & Research Centre
"Rampura Phul, Punjab",Dr Vikhe Patil Foundation Colleges
"Rampurhat, West Bengal",Dr Vitthalrao Vikhe Patil Foundation's Medical College & Hospital
"Ramtek, Maharashtra",Dr Vrk Women's Medical College
"Ranavav, Gujarat",Dr Yaswanth Singh College
"Ranchi, Jharkhand",Dr Ziauddin Ahmad Dental College
"Rangiya, Assam",Drakhilesh Das Gupta Institute Of Professional Studies
"Rania, Haryana",Drbaliram Hiray College Of Architecture
"Ranibennur, Karnataka",Driems Medical College
"Rapar, Gujarat",Driems University
"Rasipuram, Tamil Nadu",Drnd Desai Medical College
"Rasra, Uttar Pradesh",Drrajendra Gode Medical College
"Ratangarh, Rajasthan",Drs Sudha And Nageswararao Siddharth Institute Of Dental Sciences
"Rath, Uttar Pradesh",Dsb Kumaun University
"Ratia, Haryana",Dsms College Of Management And Science
"Ratlam, Madhya Pradesh",Dtss Law College
"Ratnagiri, Maharashtra",Durgapur Society Of Management Science
"Rau, Madhya Pradesh",Dwaraka Doss Goverdhan Doss Vaishnav College
"Raurkela Industrial Township, Odisha",Dwarkadas J Sanghvi College Of Engineering
"Raver, Maharashtra",Dy Patil College Of Applied Arts And Crafts Akurdi Pune
"Rawatbhata, Rajasthan",Dy Patil Institute Of Biotechnology And Bioinformatics (Dy Patil Vidyapeeth)
"Rawatsar, Rajasthan",Dy Patil International University Akurdi Campus Pune
"Raxaul Bazar, Bihar",Dy Patil Medical College Kolhapur
"Rayachoti, Andhra Pradesh",Dy Patil School Of Allied Health Sciences
"Rayadurg, Andhra Pradesh",Dy Patil School Of Design Dy Patil Vidyapeeth
"Rayagada, Odisha",Dy Patil School Of Humanties And Sciences Dy Patil Navi Mumbai
"Reengus, Rajasthan",Dy Patil School Of Medicine Nerul Navi Mumbai
"Rehli, Madhya Pradesh",Dy Patil School Of Medicine Pimpri Pune
"Renigunta, Andhra Pradesh",Dy Patil Technical Campus Talsandekolhapur
"Renukoot, Uttar Pradesh",Dyal Singh College
"Reoti, Uttar Pradesh",East Point College Of Engineering And Technology
"Repalle, Andhra Pradesh",East Point College Of Medical Sciences
"Revelganj, Bihar",East Point College Of Medical Sciences & Research Centre
"Rewa, Madhya Pradesh",East Point College Of Pharmacy
"Rishikesh, Uttarakhand",East Point College Of Physiotherapy
"Risod, Maharashtra",East West Institute Of Technology
"Robertsganj, Uttar Pradesh",Eastern Institute For Integrated Learning In Management Kolkata
"Rohtak, Haryana",Easwari Engineering College
"Ron, Karnataka",Echelon Institute Of Technology
"Rosera, Bihar",Ecole Intuit Lab
"Rourkela, Odisha",Edu Dental Care College
"Rourkela, Odisha",Educare Institute Of Dental Sciences
"Rudauli, Uttar Pradesh",Eiilm Kolkata
"Rudraprayag, Uttarakhand",Eimr Business School
"Rudrapur, Uttar Pradesh",Eklavya Dental College
"Rupnagar, Punjab",Elijah Institute Of Management Studies
"Sabalgarh, Madhya Pradesh",Elims College Of Arts And Science Thrissur
"Sadabad, Uttar Pradesh",Elphinstone College Of Arts Science And Commerce
"Sadasivpet, Telangana",Emea College Of Arts And Science Kondotty
"Sadri, Rajasthan",Employees' State Insurance Corporation Medical College & Hospital Sanath Nagar
"Sadulshahar, Rajasthan",Er Perumal Manimekalai College Of Engineering
"Safidon, Haryana",Era Lucknow Medical College & Hospital
"Safipur, Uttar Pradesh",Eranad Knowledge City College Of Architecture
"Sagar, Madhya Pradesh",Erode Arts And Science College
"Sagara, Karnataka",Erode College Of Law
"Sagwara, Rajasthan",Esic Coimbatore
"Saharanpur, Uttar Pradesh",Esic Medical College Alwar
"Saharsa, Bihar",Esic Medical College And Postgraduate Institute Of Medical Sciences And Research
"Sahaspur, Uttar Pradesh",Ethames College Of Business
"Sahaswan, Uttar Pradesh",Ethiraj College For Women
"Sahawar, Uttar Pradesh",Excel Engineering College - Autonomous
"Sahibganj, Jharkhand",Excellencia Junior College
"Sahjanwa, Uttar Pradesh",Faculty Of Health And Medical Sciences
"Saidpur, Uttar Pradesh",Faculty Of Law Banaras Hindu University
"Saiha, Mizoram",Fairfield Institute Of Management And Technology
"Sailu, Maharashtra",Fakir Mohan Medical College And Hospital
"Sainthia, West Bengal",Far Eastern Federal University
"Sakaleshapura, Karnataka",Farook College
"Sakti, Chhattisgarh",Farook Institute Of Management Studies
"Salaya, Gujarat",Father Colombo Institute Of Medical Sciences
"Salem, Tamil Nadu",Father Muller College Of Allied Health Sciences
"Salumbar, Rajasthan",Father Muller College Of Pharmaceutical Sciences
"Salur, Andhra Pradesh",Father Muller Medical College
"Samalkha, Haryana",Father Muller Physiotheraphy
"Samalkot, Andhra Pradesh",Father Mullers College Of Nursing
"Samana, Punjab",Fathima Medical College
"Sambalpur, Odisha",Fatima College
"Sambalpur, Orissa",Fatima Mata National College
"Sambhal, Uttar Pradesh",Federal Institute Of Science And Technology
"Sambhar, Rajasthan",Ferguson College Pune
"Samdhan, Uttar Pradesh",Finx Institue
"Samthar, Uttar Pradesh",Flame University
"Sanand, Gujarat",Footwear Design And Development Institute
"Sanawad, Madhya Pradesh",Fortune School Of Business
"Sanchore, Rajasthan",Foundation For Liberal And Management Education University
"Sandi, Uttar Pradesh",Fr Agnel School Of Law
"Sandila, Uttar Pradesh",Fr Conceicao Rodrigues College Of Engineering Bandra West
"Sanduru, Karnataka",Future Varsity Education Group
"Sangamner, Maharashtra",G H Raisoni College Of Engineering
"Sangareddy, Telangana",G Narayanamma Institute Of Technology And Science
"Sangaria, Rajasthan",G-Clar Law College (Guru Nithya Chaithanya Yathi College Of Law & Research Centre)Kayamkulam
"Sangli-Miraj & Kupwad, Maharashtra",Gadag Institute Of Medical Sciences
"Sangole, Maharashtra",Gajra Raja Medical College
"Sangrur, Punjab",Galgotias College Of Engineering And Technology
"Sanivarapupeta, Andhra Pradesh",Galgotias University
"Sankagiri, Tamil Nadu",Gandhi Institute Of Technology And Management
